User,Content
홍시냠냠쩝,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 홍시냠냠쩝
3. 소속 보험회사 : KB라이프파트너스 HO&F
4. 보험경력 : 신입
5. 보만세에서 얻고 싶은 것 : 시험관련정보, 교육정보 등
6. 자기소개(경력, 영업방법 등) : 신입이라 잘부탁드립니다!
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 네이버 통해서 들어왔어요!
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
여울벚꽃,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
3. 소속 보험회사 : 프라임에셋
4. 보험경력 : 무경력 시험준비중
5. 보만세에서 얻고 싶은 것 : 시험공략자료,보험에대한 배움정보
6. 자기소개(경력, 영업방법 등) : 경력은없고 이번에 처음으로 보험일할려고 시험준비하다가 한번떨어지고나서 다시열심히해볼려구 카페가입했어요.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 카페검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
가을동화,"※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기)
처음 시작은 우리가족 보험을 내 손으로 설계해보자였고
배우자 간병보험도 1w 가입도 했어요
시험보고 위촉 계약서 썼지만
앞으로 카드 신규발급 필수라 스트레스가 있네요
그만두거나 이직하는 것이 낫겠지요?
고민고민 입니다"
오키도키,"지난달에 손해보험+제3보험 자격증을 따고...
유튜브에서 이거저거 강의를 보는데 사실 반은 알아듣고 반은 못알아듣는것 같아요.
아직 신입교육일정이 잡히지 않아...마냥 대기중입니다.
시간이 이렇게 흘러가는게 아까워서... 시간이 이렇게 넘쳐흐를때 생명보험시험을 준비해야겠다 싶어서요.
생명보험 시험은 손해보험보다 더 어렵나요?
보험영업 하시다 보면 아묻따 가입하시는분들 있으시죵
그게 바로 저...ㅎㅎ 잘 모르니까 금액만 맞으면 네 알아서 잘 해주세요 하는 사람 ㅎㅎㅎ
그정도로 무지하거든요.
그런 저는 남들보다 더 공부하고 더 열심히 해야되는데
계속 백수처럼 대기하고 있기가 ㅠㅠ 조급해지네요.
실손, 암뇌심 정도 영상 찾아보고 있어요.
무엇을 더 봐야하는지도 모르겠고 봐도봐도 끝없는거 같은데 어디서부터 어디까지 내가 알아야되는지도 모르겠고..ㅠ
답답하고 막막한 초보의 하소연 이었습니다~"
공돌이푸,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
경기도 일산 에이플러스에셋 이경준 공돌이푸
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 공돌이푸
3. 소속 보험회사 : 에이플러스에셋
4. 보험경력 : 무경력
5. 보만세에서 얻고 싶은 것 : 시험기출문제
6. 자기소개(경력, 영업방법 등) : 안녕하세요 보험설계사 준비하는 준비생입니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 인터넷검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
인카GOAT송준호지점장,"12편. 거절을 관리하는 대화법
상담을 하다 보면
가장 많이 듣게 되는 말이 있다.
“생각 좀 해볼게요.”
“괜찮아요.”
“다음에 연락드릴게요.”
그 순간, 마음이 철렁 내려앉는다.
‘또 거절당했구나.’
‘뭐가 부족했던 걸까?’
‘다시는 연락하지 말라는 뜻일까?’
그렇게 상담 후 연락을 끊고,
기록조차 남기지 못하고
무거운 마음만 남은 채
또 하나의 관계가 스쳐 지나간다.
거절은 관계의 끝이 아니다
대부분의 경우에 우리는
거절을 ‘실패’라고 받아들인다.
하지만 사실 거절은
관계의 한 단계일 뿐이다.
거절은 ‘아니오’가 아니라
‘아직은 아니오’일 수 있다.
관계를 맺어가는 과정에서
고객은 검토하고, 판단하고, 방어하는 시간을 갖는 것이다.
그 시간 안에
우리는 무너질 수도 있고, 연결될 수도 있다.
차이는 오직 하나,
거절을 어떻게 대하느냐다.
거절을 바로 정리하면, 다음 기회는 없다
거절을 들은 뒤 바로 명단에서 제외하거나,
상담 기록을 지워버리는 경우가 많다.
하지만 사실 그 순간이
관계를 더 깊게 만들 수 있는 기회일 수도 있다.
거절 직후의 한 마디,
거절 이후의 한 통의 메시지,
그게 상담보다 더 강한 신뢰를 남기기도 한다.
“괜찮습니다”는 무책임한 말이 될 수 있다
고객이 거절했을 때
무의식적으로 이렇게 말할 때가 있다.
“아 네, 괜찮습니다. 나중에 필요하시면 연락 주세요.”
이 말은 예의는 있지만
아무런 연결도 남기지 않는 말이다.
괜찮다고 했지만,
사실 나도, 고객도 서로 불편한 채로 끝나는 대화다.
이럴 땐 조금 다르게 말해보자.
“고객님께 꼭 필요한 시점이 아니었다면,
당연히 망설이실 수 있다고 생각해요.
혹시 나중에라도 보험 관련해서 궁금한 거 있으시면
제가 자료만이라도 편하게 전달드릴 수 있어요.”
이건 관계를 열어두는 말이다.
거절은 피드백이다. 감정으로 듣지 말고, 정보로 읽자
거절을 들었을 때
“난 거절당했다”는 감정에 빠지기 쉽다.
하지만 조금만 시선을 달리하면
그 말 안에는 고객의 니즈, 우려, 상황이 담겨 있다.
“지금은 여유가 없어요.”
→ 경제적 부담 우선
“다른 분한테 가입한 게 있어서요.”
→ 관계성 중심, 부담 회피
“괜찮습니다.”
→ 거절이 아니라 판단 유보
이걸 감정이 아니라 피드백 데이터로 기록하면
다음 접촉의 방향이 보인다.
거절 이후, 다시 만날 수 있는 설계사가 되자
한 번의 거절에도
인상은 남는다.
‘대화가 불편하지 않았고,
무례하지 않았고,
성급하지 않았다면’
다음에 누군가 그 고객에게 묻는다.
“혹시 보험 잘 아는 사람 있어?”
그리고 그때
그 고객의 머릿속에
‘당신’이 떠오를 수 있다.
그게 바로
거절 이후를 설계한 설계사의 힘이다.
오늘의 질문
오늘의 당신에게 묻고 싶은 질문은 이것이다.
오늘 내가 들은 거절은 정말 ‘끝’이었을까?
아니면, 내가 이어갈 수 있었던 기회를 놓친 건 아닐까?
거절은 늘 아프지만,
거절이 승낙보다 더 많은 걸 알려주는 순간도 있다.
당신을 시험하는 건
‘예스’가 아니라 ‘노’일지도 모른다.
그때를 잘 건너는 사람이
진짜 설계사가 된다.
다음 편에서는
“계약 전 마지막 한마디, 계약 후 첫 번째 말”이라는 주제로,
결정의 직전과 직후, 고객의 감정을 안정시키고
다음 관계를 이어가는 언어 설계에 대해 이야기합니다.
다음 편이 궁금하다면,
프로필을 클릭해서 구독해주세요.
업계에서 가장 깊이 있는 글을 가장 빨리 만나실 수 있습니다.
[혼자 버티는 당신을 위한 30편의 편지]
보험 영업, 그 막막한 시작 앞에 놓인 당신에게
Ⅰ. 영업 입문기의 심리와 마인드셋 (6/6) → 연재 완료
Ⅱ. 실전 상담 기술과 전략 (6/8) → 현재 연재 중
Ⅲ. 신뢰를 설계하는 전략적 행동 (0/6)
Ⅳ. 성장 전략과 루틴 설계 (0/5)
Ⅴ. 나는 누구를 위해, 무엇을 설계하는가 (0/5)
■■■■■■■■■■■■□□□□□□□□□□□□□□□□□□ 12 / 30
☆프로필을 눌러 첫 편지부터 천천히 넘겨보실 수 있어요!"
고수은하수,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
3. 소속 보험회사 : 한국보험금융
4. 보험경력 : 없음
5. 보만세에서 얻고 싶은 것 : 정보부탁드려요
6. 자기소개(경력, 영업방법 등) : 경력없음
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 시험 검색
이제 시험 공부하는 무경력 병아리에용~~
잘부탁드립니다:)^^
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
희동23,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
3. 소속 보험회사 : 더베스트금융
4. 보험경력 : 신입
5. 보만세에서 얻고 싶은 것 : 보험관련자료
6. 자기소개(경력, 영업방법 등) : 신입이지만 보만세통해서 열심히배워보고싶습니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 검색(보험설계사 시험교재)
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
미니민니맘,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 미니민니맘
3. 소속 보험회사 : 무
4. 보험경력 : 무
5. 보만세에서 얻고 싶은 것 : 소통,설계사 준비중입니다.
6. 자기소개(경력, 영업방법 등) : 설계사 시험준비중입니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 네이버 검색-보험설계사
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
루비루비맘,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
경북 삼성화재 손해보험설계사 루비루비맘 가입인사 합니다
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
루비루비맘
3. 소속 보험회사 : 삼성화재
4. 보험경력 : 이번에 합격했어요^^
5. 보만세에서 얻고 싶은 것 :
시험자료와 시험 합격후 설계사로 도움 될만한 자료들
6. 자기소개(경력, 영업방법 등) :
전업주부였다가 20년만에 공부해서 손보시험만 보면되네요ㅠ 시험 어렵습니다!
이제 합격해서 손보설계사가 되었네요^^
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 보험설계사로 검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
범버,"1. 먼저 이 글의 제목을 변경 해 주세요 :성남 한솔금융서비스 보험설계사 범버
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 한글입니다
3. 소속 보험회사 : 한솔금융서비스
4. 보험경력 : 없음
5. 보만세에서 얻고 싶은 것 : 설계사 시험자료
6. 자기소개(경력, 영업방법 등) : 안녕하십니까 보험설계사 준비중입니다 잘부탁드립니다
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 시험자료검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
